Date,Ticker,Dividend
2025-02-10,AAPL,0.25
2025-05-12,AAPL,0.26
2025-08-11,AAPL,0.26
2025-11-10,AAPL,0.26
2026-02-09,AAPL,0.26
2025-01-15,ABBV,1.64
2025-04-15,ABBV,1.64
2025-07-15,ABBV,1.64
2025-10-15,ABBV,1.64
2026-01-16,ABBV,1.73
2025-01-15,ABT,0.59
2025-04-15,ABT,0.59
2025-07-15,ABT,0.59
2025-10-15,ABT,0.59
2026-01-15,ABT,0.63
2025-01-16,ACN,1.48
2025-04-10,ACN,1.48
2025-07-10,ACN,1.48
2025-03-17,AIG,0.4
2025-06-13,AIG,0.45
2025-09-16,AIG,0.45
2025-12-16,AIG,0.45
2026-03-16,AIG,0.45
2025-02-14,AMGN,2.38
2025-05-16,AMGN,2.38
2025-08-22,AMGN,2.38
2025-11-21,AMGN,2.38
2026-02-13,AMGN,2.52
2025-04-11,AMT,1.7
2025-06-13,AMT,1.7
2025-09-30,AMT,1.7
2025-12-29,AMT,1.7
2025-03-20,AVGO,0.59
2025-06-20,AVGO,0.59
2025-09-22,AVGO,0.59
2025-12-22,AVGO,0.65
2025-01-03,AXP,0.7
2025-04-04,AXP,0.82
2025-07-03,AXP,0.82
2025-10-10,AXP,0.82
2026-01-02,AXP,0.82
2025-03-07,BAC,0.26
2025-06-06,BAC,0.26
2025-09-05,BAC,0.28
2025-12-05,BAC,0.28
2026-03-06,BAC,0.28
2025-01-27,BK,0.47
2025-04-21,BK,0.47
2025-07-25,BK,0.53
2025-10-27,BK,0.53
2026-01-23,BK,0.53
2025-03-07,BKNG,9.6
2025-06-06,BKNG,9.6
2025-09-05,BKNG,9.6
2025-12-05,BKNG,9.6
2026-03-06,BKNG,10.5
2025-03-07,BLK,5.21
2025-06-05,BLK,5.21
2025-09-05,BLK,5.21
2025-12-05,BLK,5.21
2026-03-06,BLK,5.73
2025-01-03,BMY,0.62
2025-04-04,BMY,0.62
2025-07-03,BMY,0.62
2025-10-03,BMY,0.62
2026-01-02,BMY,0.63
2025-02-03,C,0.56
2025-05-05,C,0.56
2025-08-04,C,0.6
2025-11-03,C,0.6
2026-02-02,C,0.6
2025-01-21,CAT,1.41
2025-04-21,CAT,1.41
2025-07-21,CAT,1.51
2025-10-20,CAT,1.51
2026-01-20,CAT,1.51
2025-01-21,CL,0.5
2025-04-17,CL,0.52
2025-07-18,CL,0.52
2025-10-17,CL,0.52
2026-01-21,CL,0.52
2025-01-08,CMCSA,0.290534
2025-04-02,CMCSA,0.309278
2025-07-02,CMCSA,0.309278
2025-10-01,CMCSA,0.309278
2026-01-05,CMCSA,1.866
2026-01-14,CMCSA,0.33
2025-02-18,COF,0.6
2025-05-23,COF,0.6
2025-08-15,COF,0.6
2025-11-17,COF,0.8
2026-02-19,COF,0.8
2025-02-14,COP,0.78
2025-05-19,COP,0.78
2025-08-18,COP,0.78
2025-11-17,COP,0.84
2026-02-18,COP,0.84
2025-02-07,COST,1.16
2025-05-02,COST,1.3
2025-08-01,COST,1.3
2025-10-31,COST,1.3
2026-01-30,COST,1.3
2025-04-10,CRM,0.416
2025-06-18,CRM,0.416
2025-09-17,CRM,0.416
2025-12-18,CRM,0.416
2025-01-03,CSCO,0.4
2025-04-03,CSCO,0.41
2025-07-03,CSCO,0.41
2025-10-03,CSCO,0.41
2026-01-02,CSCO,0.41
2025-01-23,CVS,0.665
2025-04-22,CVS,0.665
2025-07-22,CVS,0.665
2025-10-23,CVS,0.665
2026-01-22,CVS,0.665
2025-02-14,CVX,1.71
2025-05-19,CVX,1.71
2025-08-19,CVX,1.71
2025-11-18,CVX,1.71
2026-02-17,CVX,1.78
2025-03-31,DE,1.62
2025-06-30,DE,1.62
2025-09-30,DE,1.62
2025-12-31,DE,1.62
2025-03-28,DHR,0.32
2025-06-27,DHR,0.32
2025-09-26,DHR,0.32
2025-12-26,DHR,0.32
2025-06-24,DIS,0.5
2025-12-15,DIS,0.75
2025-02-14,DUK,1.045
2025-05-16,DUK,1.045
2025-08-15,DUK,1.065
2025-11-14,DUK,1.065
2026-02-13,DUK,1.065
2025-02-14,EMR,0.528
2025-05-16,EMR,0.528
2025-08-15,EMR,0.528
2025-11-14,EMR,0.555
2026-02-13,EMR,0.555
2025-02-18,F,0.3
2025-05-12,F,0.15
2025-08-11,F,0.15
2025-11-07,F,0.15
2026-02-13,F,0.15
2025-03-10,FDX,1.38
2025-06-23,FDX,1.45
2025-09-08,FDX,1.45
2025-12-15,FDX,1.45
2026-03-09,FDX,1.45
2025-01-17,GD,1.42
2025-04-11,GD,1.5
2025-07-03,GD,1.5
2025-10-10,GD,1.5
2026-01-16,GD,1.5
2025-03-10,GE,0.36
2025-07-07,GE,0.36
2025-09-29,GE,0.36
2025-12-29,GE,0.36
2026-03-09,GE,0.47
2025-03-14,GILD,0.79
2025-06-13,GILD,0.79
2025-09-15,GILD,0.79
2025-12-15,GILD,0.79
2026-03-13,GILD,0.82
2025-03-07,GM,0.12
2025-06-06,GM,0.15
2025-09-05,GM,0.15
2025-12-05,GM,0.15
2026-03-06,GM,0.18
2025-03-10,GOOG,0.2
2025-06-09,GOOG,0.21
2025-09-08,GOOG,0.21
2025-12-08,GOOG,0.21
2026-03-09,GOOG,0.21
2025-03-10,GOOGL,0.2
2025-06-09,GOOGL,0.21
2025-09-08,GOOGL,0.21
2025-12-08,GOOGL,0.21
2026-03-09,GOOGL,0.21
2025-02-28,GS,3.0
2025-05-30,GS,3.0
2025-08-29,GS,4.0
2025-12-02,GS,4.0
2026-03-02,GS,4.5
2025-03-13,HD,2.3
2025-06-05,HD,2.3
2025-09-04,HD,2.3
2025-12-04,HD,2.3
2026-03-12,HD,2.33
2025-02-28,HON,1.065033
2025-05-16,HON,1.065033
2025-08-15,HON,1.065033
2025-10-30,HON,12.3125
2025-11-14,HON,1.19
2026-02-27,HON,1.19
2025-02-10,IBM,1.67
2025-05-09,IBM,1.68
2025-08-08,IBM,1.68
2025-11-10,IBM,1.68
2026-02-10,IBM,1.68
2025-02-18,JNJ,1.24
2025-05-27,JNJ,1.3
2025-08-26,JNJ,1.3
2025-11-25,JNJ,1.3
2026-02-24,JNJ,1.3
2025-01-06,JPM,1.25
2025-04-04,JPM,1.4
2025-07-03,JPM,1.4
2025-10-06,JPM,1.5
2026-01-06,JPM,1.5
2025-02-03,KMI,0.288
2025-04-30,KMI,0.293
2025-07-31,KMI,0.293
2025-11-03,KMI,0.293
2026-02-02,KMI,0.293
2025-03-14,KO,0.51
2025-06-13,KO,0.51
2025-09-15,KO,0.51
2025-12-01,KO,0.51
2026-03-13,KO,0.53
2025-03-13,LIN,1.5
2025-06-04,LIN,1.5
2025-09-04,LIN,1.5
2025-12-03,LIN,1.5
2026-03-11,LIN,1.6
2025-02-14,LLY,1.5
2025-05-16,LLY,1.5
2025-08-15,LLY,1.5
2025-11-14,LLY,1.5
2026-02-13,LLY,1.73
2025-03-03,LMT,3.3
2025-06-02,LMT,3.3
2025-09-02,LMT,3.3
2025-12-01,LMT,3.45
2026-03-02,LMT,3.45
2025-01-22,LOW,1.15
2025-04-23,LOW,1.15
2025-07-23,LOW,1.2
2025-10-22,LOW,1.2
2026-01-21,LOW,1.2
2025-01-10,MA,0.76
2025-04-09,MA,0.76
2025-07-09,MA,0.76
2025-10-09,MA,0.76
2026-01-09,MA,0.87
2025-03-03,MCD,1.77
2025-06-02,MCD,1.77
2025-09-02,MCD,1.77
2025-12-01,MCD,1.86
2026-03-03,MCD,1.86
2025-03-31,MDLZ,0.47
2025-06-30,MDLZ,0.47
