Date,Dividend,Ticker
2025-02-10,0.25,AAPL
2025-05-12,0.26,AAPL
2025-08-11,0.26,AAPL
2025-11-10,0.26,AAPL
2026-02-09,0.26,AAPL
2025-01-15,1.64,ABBV
2025-04-15,1.64,ABBV
2025-07-15,1.64,ABBV
2025-10-15,1.64,ABBV
2026-01-16,1.73,ABBV
2025-01-15,0.59,ABT
2025-04-15,0.59,ABT
2025-07-15,0.59,ABT
2025-10-15,0.59,ABT
2026-01-15,0.63,ABT
2025-01-16,1.48,ACN
2025-04-10,1.48,ACN
2025-07-10,1.48,ACN
2025-03-17,0.4,AIG
2025-06-13,0.45,AIG
2025-09-16,0.45,AIG
2025-12-16,0.45,AIG
2026-03-16,0.45,AIG
2025-02-14,2.38,AMGN
2025-05-16,2.38,AMGN
2025-08-22,2.38,AMGN
2025-11-21,2.38,AMGN
2026-02-13,2.52,AMGN
2025-04-11,1.7,AMT
2025-06-13,1.7,AMT
2025-09-30,1.7,AMT
2025-12-29,1.7,AMT
2025-03-20,0.59,AVGO
2025-06-20,0.59,AVGO
2025-09-22,0.59,AVGO
2025-12-22,0.65,AVGO
2025-01-03,0.7,AXP
2025-04-04,0.82,AXP
2025-07-03,0.82,AXP
2025-10-10,0.82,AXP
2026-01-02,0.82,AXP
2025-03-07,0.26,BAC
2025-06-06,0.26,BAC
2025-09-05,0.28,BAC
2025-12-05,0.28,BAC
2026-03-06,0.28,BAC
2025-01-27,0.47,BK
2025-04-21,0.47,BK
2025-07-25,0.53,BK
2025-10-27,0.53,BK
2026-01-23,0.53,BK
2025-03-07,9.6,BKNG
2025-06-06,9.6,BKNG
2025-09-05,9.6,BKNG
2025-12-05,9.6,BKNG
2026-03-06,10.5,BKNG
2025-03-07,5.21,BLK
2025-06-05,5.21,BLK
2025-09-05,5.21,BLK
2025-12-05,5.21,BLK
2026-03-06,5.73,BLK
2025-01-03,0.62,BMY
2025-04-04,0.62,BMY
2025-07-03,0.62,BMY
2025-10-03,0.62,BMY
2026-01-02,0.63,BMY
2025-02-03,0.56,C
2025-05-05,0.56,C
2025-08-04,0.6,C
2025-11-03,0.6,C
2026-02-02,0.6,C
2025-01-21,1.41,CAT
2025-04-21,1.41,CAT
2025-07-21,1.51,CAT
2025-10-20,1.51,CAT
2026-01-20,1.51,CAT
2025-01-21,0.5,CL
2025-04-17,0.52,CL
2025-07-18,0.52,CL
2025-10-17,0.52,CL
2026-01-21,0.52,CL
2025-01-08,0.290534,CMCSA
2025-04-02,0.309278,CMCSA
2025-07-02,0.309278,CMCSA
2025-10-01,0.309278,CMCSA
2026-01-14,0.33,CMCSA
2025-02-18,0.6,COF
2025-05-23,0.6,COF
2025-08-15,0.6,COF
2025-11-17,0.8,COF
2026-02-19,0.8,COF
2025-02-14,0.78,COP
2025-05-19,0.78,COP
2025-08-18,0.78,COP
2025-11-17,0.84,COP
2026-02-18,0.84,COP
2025-02-07,1.16,COST
2025-05-02,1.3,COST
2025-08-01,1.3,COST
2025-10-31,1.3,COST
2026-01-30,1.3,COST
2025-04-10,0.416,CRM
2025-06-18,0.416,CRM
2025-09-17,0.416,CRM
2025-12-18,0.416,CRM
2025-01-03,0.4,CSCO
2025-04-03,0.41,CSCO
2025-07-03,0.41,CSCO
2025-10-03,0.41,CSCO
2026-01-02,0.41,CSCO
2025-01-23,0.665,CVS
2025-04-22,0.665,CVS
2025-07-22,0.665,CVS
2025-10-23,0.665,CVS
2026-01-22,0.665,CVS
2025-02-14,1.71,CVX
2025-05-19,1.71,CVX
2025-08-19,1.71,CVX
2025-11-18,1.71,CVX
2026-02-17,1.78,CVX
2025-03-31,1.62,DE
2025-06-30,1.62,DE
2025-09-30,1.62,DE
2025-12-31,1.62,DE
2025-03-28,0.32,DHR
2025-06-27,0.32,DHR
2025-09-26,0.32,DHR
2025-12-26,0.32,DHR
2025-06-24,0.5,DIS
2025-12-15,0.75,DIS
2025-02-14,1.045,DUK
2025-05-16,1.045,DUK
2025-08-15,1.065,DUK
2025-11-14,1.065,DUK
2026-02-13,1.065,DUK
2025-02-14,0.528,EMR
